Dgraph Name,Reason 1,Reason 2,Reason 3,Reason 4,New Name,Comment
DBA.OCS.OFTO.TrafoHV.HPTmpClc.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHV.HPTmpClc.mag,
DBA.OCS.OFTO.TrafoHVWindingAgingFactor.HaTdFact.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHVWindingAgingFactor.HaTdFact.mag,
DBA.OCS.OFTO.TrafoLV.AgeRte.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLV.AgeRte.mag,
DBA.OCS.OFTO.TrafoLV.HPTmpClc.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLV.HPTmpClc.mag,
DBA.OCS.OFTO.TrafoLVWindingAgingFactor.HaTdFact.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLVWindingAgingFactor.HaTdFact.mag,
DBA.OCS.OFTO.TrafoMaxHotSpotTemperature.TmpSv.instMag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoMaxHotSpotTemperature.TmpSv.instMag,
DBA.OCS.OFTO.TrafoMaxTotalAgingFactor.HaTdFact.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoMaxTotalAgingFactor.HaTdFact.mag,
DBA.OCS.OFTO.TrafoTotalAgingCalculationHours.AgeRte.mag,Add HVDC.AuxiliarySystem.TransformerAging,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoTotalAgingCalculationHours.AgeRte.mag,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501A_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501A_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501A.Spd.mag,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501A.Spd.mag,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501B_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501B_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502A_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502A_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502A.Spd.mag,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502A.Spd.mag,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502B_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502B_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503A_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503A_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503A.Spd.mag,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503A.Spd.mag,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503B_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503B_AHURunningIndication.Ind.stVal,
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA504A_AHURunningIndication.Ind.stVal,Space issue,,,,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA504A_AHURunningIndication.Ind.stVal,
