Dgraph Name,New Name,createdTimeNewTag
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsAB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsAB.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsBC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsBC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.HVS.C-80EH501.PPV.phsCA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EH501.PPV.phsCA.cVal.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501-UC03_ActivePower.Watt.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501-UC03_ActivePower.Watt.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsA.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsB.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.A.phsC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.A.phsC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsAB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsAB.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsBC.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsBC.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Auxiliary Power System.MVS.C-80EM501.PPV.phsCA.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.MVS.C-80EM501.PPV.phsCA.cVal.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoAux.AgeRte.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAux.AgeRte.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoAux.HPTmpClc.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAux.HPTmpClc.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoAuxWindingAgingFactor.HaTdFact.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoAuxWindingAgingFactor.HaTdFact.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoHV.AgeRte.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHV.AgeRte.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoHV.HPTmpClc.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHV.HPTmpClc.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoHVWindingAgingFactor.HaTdFact.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoHVWindingAgingFactor.HaTdFact.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.TrafoLV.AgeRte.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLV.AgeRte.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoLV.HPTmpClc.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLV.HPTmpClc.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoLVWindingAgingFactor.HaTdFact.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoLVWindingAgingFactor.HaTdFact.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoMaxHotSpotTemperature.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoMaxHotSpotTemperature.TmpSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoMaxTotalAgingFactor.HaTdFact.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoMaxTotalAgingFactor.HaTdFact.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.TrafoTotalAgingCalculationHours.AgeRte.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.TransformerAging.TrafoTotalAgingCalculationHours.AgeRte.mag,2024-03-01 23:59:59.999999
